XCOOR,YCOOR,VILLCODE,VILLNAME,TOPOZONE,INUNDATION,ELEVATION,DRYRAINFALL,SOIL_LOWP,SOIL_MEDP,SOIL_HIGHP,TAGAP_DRY,TAGAP_WET,CONZ_PROX,CONZ_PEOP,POP,SEXR,KW_UPTOSEC,KW_ILLIT,LF_FISH,LF_CROP,LF_ANI,LF_WAGED,INDLIVELI,MIGRANTS,FP_WRK,FP_FEMWRK,PL_P1HH,PL_P2HH,PL_NONPHH,RYLD_WET,RYLD_DRY,LA_RICE1HA,LA_CULT1HA,MA_INDACT,MA_PROXROAD,SW_PROXRIV,SW_PONDS,FISHPRO
362615,1477972,17070407,Svay Chek,2,14.01548767,5,20,0,4471796.826,0,3899.006104,3304.101563,26601.7061299999,0,597,0.95098,736.626,0,157.0576541,759.44334,7.952286282,97.41550696,0.918240127,47.71371769,0,0,0,0,0,1.5,2,984.25197,0,4.197140866,281.480116,64698.9684199999,0,0
463496,1355269,4030406,Ti Prammuoy,3,2.5958333,5,31.6,0,0,0,2491.673828,4506.289551,42534.52233,0,598,0.738372,774.51,0,0,197.8021978,156.5934066,637.3626374,1.173206034,82.41758242,0,0,279.0697674,122.0930233,598.8372093,3,3.5,260.27397,0,0.428082192,143.6047899,25862.42109,0,0
312100,1486200,1040316,Kampong Krasang,2,1.63863385,3,27.4,0,0,4471796.826,2090.262207,1815.304932,51280.2424699999,0,599,1.087108,309.701,0,46.66666667,90,3.333333333,133.3333333,1.363789395,80,166.666667,0,106.3829787,198.5815603,695.035461,1,1,238.09524,0,0,229.0932699,25442.67809,3,100
366700,1405500,15010409,Kaoh Khsach,2,2.65049481,5,28.8,0,406526.9842,4878323.80999999,1545.744751,1367.931152,50451.5723,0,599,1.023649,638.037,0,127.5510204,982.1428571,153.0612245,35.71428571,1.19175033,0,0,0,0,0,0,1,2,39.47368,230.26316,1.644736842,165.503442,9791.084732,1,0
405607,1448298,17110408,Chey Chet,1,0.60624999,5,21.4,0,0,0,1327.758179,2284.638184,38169.99871,0,600,1.090592,493.927,78.838,1412.903226,64.51612903,0,0,0.254837622,22.58064516,0,0,0,0,0,0,0,0,0,0,612.5815501,66583.00444,5,42
487952,1404979,6030207,Phum Ti Prampir,3,-9999,5,31.4,0,0,2845688.889,1603.653687,1639.412231,41746.08305,0,602,0.797015,828.571,9.146,0,0,0,219.2771084,0.392674467,33.73493976,0,0,0,0,0,0,0,0,0,2.8308619,2.78322608,78094.23063,0,0
489540,1413402,6020917,Lvey,2,1.92124999,5,30.6,2845688.889,0,0,2791.810303,1844.63855,46023.84707,0,603,1.030303,608.889,327.645,0,823.8482385,0,62.33062331,0.516098239,78.59078591,0,0,64.28571429,278.5714286,657.1428571,0.5,0,622.22222,44.44444,0.925925926,121.8147926,85681.1919099999,0,0
366600,1400400,15010110,Boeng Chhuk,2,3.79606223,4,29.6,0,6910958.73099999,2032634.921,1637.060669,1163.352661,55316.4115699999,0,604,0.929712,604.396,45.455,0,1388.324873,35.53299492,71.06598985,0.674504357,256.3451777,0,0,79.71014493,173.9130435,746.3768116,2.5,2.5,248.06202,0,2.42248062,448.1082583,5279.039049,16,0
390200,1392600,15020114,Boeng Chhuk,2,2.78478622,5,30.4,0,2439161.90499999,406526.9842,1424.228027,2006.735718,40885.84317,0,604,0.929712,604.396,45.455,43.85964912,1258.77193,78.94736842,245.6140351,1.221232013,0,0,0,0,0,0,2.5,2.5,248.06202,0,1.225490196,495.002105,10610.79756,16,0
390000,1392700,15020317,Boeng Chhuk,2,0.78828126,5,30.4,0,813053.9684,0,1424.228027,2006.735718,40998.5080499999,0,604,0.929712,604.396,45.455,4.705882353,1131.764706,0,127.0588235,0.624290563,21.17647059,0,0,0,0,0,2.5,2.5,248.06202,0,0,274.7268051,10529.4426,16,20
387757,1397874,15020604,Saen Chey,2,0.86419272,5,29.4,0,0,1626107.93699999,1732.886108,2077.095215,40441.3982099999,0,604,0.8875,594.34,0,0,1735.694823,0,0,0,0,0,0,64.51612903,177.4193548,758.0645161,2.5,2,791.66667,0,0,269.1076254,13444.19957,12,0
329010,1499495,17060303,Ou Kralanh,2,2.46603084,5,24,0,4065269.842,0,1334.326294,955.2973022,51143.97395,0,604,0.986842,567.251,38.961,0,1441.860465,0,5.167958656,0.600230645,38.75968992,0,0,0,91.60305344,0,1,0,78.125,781.25,3.051435829,108.232307,43349.68224,3,20
282500,1496900,1020208,Bat Trang Thum Lech,2,1.04109967,5,32.6,0,3252215.873,0,1855.940552,1544.90564,81631.6058199999,0,606,1.013289,831.633,24.845,0,690.5370844,0,7.672634271,0.424365131,97.18670077,0,0,82.70676692,225.5639098,691.7293233,2,0,20.13423,0,0,64.625946,2925.888026,0,0
376963,1394011,15010709,Pnov,2,1.32627547,5,31,0,0,6504431.747,1731.050415,1782.499756,51865.4251099999,0,606,0.92381,468.354,25.926,1.893939394,909.0909091,28.40909091,35.98484848,0.77795702,166.6666667,0,0,38.46153846,323.0769231,638.4615385,2,4,63.49206,0,0,202.3007996,5366.932475,0,0
382971,1383799,15050607,Stueng Touch,3,2.39759612,5,33,0,813053.9684,0,1587.852539,1643.490479,51871.2442599999,197.08029,606,1.061224,532.051,553.846,0,885.1174935,0,120.1044386,0.365888683,0,0,0,41.09589041,178.0821918,780.8219178,2,1.2,613.13869,72.9927,2.936491076,145.2367146,533.6966476,10,0
371403,1476306,17100801,Pnov,3,-9999,5,19.2,0,813053.9684,0,1454.177002,1203.528809,29959.90692,0,606,0.92381,468.354,25.926,0,586.6388309,0,152.4008351,0.508898039,0,0,0,0,0,0,2,4,63.49206,0,0,519.7523096,71712.1572199999,0,0
448738,1435327,6080405,Neang Sa Lngeach,2,6.74526358,5,24.2,0,6097904.763,0,1593.74292,1123.900513,31699.52788,0,607,0.839394,543.379,50.676,164.8351648,714.2857143,71.42857143,2.747252747,1.378808682,68.68131868,0,0,125,75,800,2,3,86.95652,0,1.84037737,167.6192137,81728.06367,5,100
448244,1435815,6080909,Neang Sa Lngeach,2,9.24736214,5,24.2,0,7317485.71499999,0,1642.170044,1136.755493,31639.33997,0,607,0.839394,543.379,50.676,303.5714286,651.7857143,0,50.5952381,0.953174399,53.57142857,0,0,0,0,0,2,3,86.95652,0,0,171.2158993,81704.96759,5,0
305978,1505498,1040605,Snay,2,1.52551723,4,27.6,3658742.858,813053.9684,0,1482.706909,1277.343628,69137.2139,0,615,1.003257,617.857,37.736,0,1196.825397,0,361.9047619,0.82669808,0,0,0,89.43089431,121.9512195,788.6178862,1.5,3.5,17.24138,129.31034,0,927.7042963,21834.27851,0,0
442835,1374244,4010405,Kansaeng,2,-9999,5,30.4,0,1626107.93699999,0,1773.495728,1816.554199,20960.5122699999,0,615,0.921875,574.85,0,10.30927835,976.8041237,206.185567,141.7525773,1.083437019,61.8556701,0,0,68.96551724,42.4403183,888.5941645,2,0,751.63399,0,0,46.67287364,29206.48254,0,0
374439,1389867,15010701,Snam Preah,2,0.54198366,5,32.4,0,4065269.842,406526.9842,1371.54126,1348.059326,55922.1124599999,0,615,0.996753,667.984,33.835,0,1137.614679,0,0,0.329782656,0,0,0,150,121.4285714,728.5714286,2.5,0,98.68421,0,0.411184211,18.92026628,515.441695,2,0
421014,1457455,17041107,Kansaeng,2,1.15084982,5,20.8,0,4878323.80999999,0,1318.447021,1393.593506,42531.1705,0,615,0.921875,574.85,0,0,276.2645914,134.7276265,81.22568093,1.583576305,97.27626459,0,0,0,0,0,2,0,751.63399,0,0.156641604,487.1047876,81657.0098799999,0,0
440401,1444963,17040712,Ta Nguon,2,1.23313677,5,23,0,5691377.77799999,0,1109.492065,1264.892212,33933.93791,0,616,0.806452,451.282,157.729,0,658.4022039,0,275.4820937,1.033055856,666.6666667,0,0,83.96946565,198.4732824,717.5572519,1,0,248.06202,0,0,502.3717397,83119.84952,0,0
