XCOOR,YCOOR,VILLCODE,VILLNAME,TOPOZONE,INUNDATION,ELEVATION,DRYRAIN,SOIL_LOWP,SOIL_MEDP,SOIL_HIGHP,CONZ_PROX,CONZ_PEOP,POP,SEXR,KW_UPTOSEC,KW_ILLIT,LF_RICE,LF_VEGE,LF_LSC,LF_WAGED,INDLIVELI,MIGRANTS,PL_P1HH,PL_P2HH,PL_NONPHH,RYLD_WET,RYLD_DRY,RYLD_DANDW,RYLD_RANDI,LA_RICE1HA,LA_CULT1HA,INDAGRIM,A_IRRIC,A_IRRIR,A_IRRIP,A_IRRIW,MA_INDACT,MA_PROXROAD,TAGAP_DRY,TAGAP_WET,SW_PROXRIV,SW_PONDS,GW_DWELL,GW_BOREW,IRRI_SCH,IRRI_HEAD
391748,1472086,17090702,Ta Prak,2,1.29854167,5,18.2,0,1626107.93699999,0,44021.1004299999,973.54497,961,0.965235,662.651,40.385,190.1081917,58.733,149.923,108.1916538,1.545785871,12.36476043,41.4507772,108.8082902,849.7409326,1.5,2.5,1,-1,211.64021,0,11.83903399,0,0,0,0,13.09648683,324.5112573,1500.026123,839.059082,80543.38407,0,89,0,0,No
305610,1451643,2030605,Ta Koy,3,-9999,5,32.8,0,0,1626107.93699999,46191.34188,0,959,0.985507,645.833,20.121,72.96849088,3.317,9.95,142.6202322,1.393016947,72.96849088,122.9508197,32.78688525,844.2622951,2,0,-1,0,283.33333,0,3.626403022,0,0,0,0,0.520833333,500.133986,2200.785645,1427.592041,2850.050182,51,0,0,0,No
388208,1386296,15050806,Ta Koy,2,1.040483,5,31.8,0,0,4471796.826,46201.82807,0,959,0.985507,645.833,20.121,775.93361,3.317,9.95,767.6348548,0.772352801,29.04564315,0,0,0,2,0,-1,0,283.33333,0,9.49621787,0.0196,0.0113,0,0,1.582278481,290.7092055,1759.143555,1943.893799,4719.014661,51,10,0,1890156.80112,No
299200,1449700,2020410,Kruos,2,-9999,5,33.8,0,0,0,52707.1263899999,0,958,0.912176,554.667,55.328,529.0102389,81.911,97.27,32.42320819,1.055779604,76.79180887,103.8961039,220.7792208,675.3246753,2.5,3,-1,0,13.57466,0,43.79108759,0.0295,0,0.0295,0,0.28280543,85.14286364,1661.482178,1321.464355,21.64735228,32,0,0,0,No
474844,1411958,6020811,Tram Khla,2,2.33326817,5,29.2,0,5284850.79399999,0,32348.6529,0,958,0.9591,387.309,325.581,560.4651163,97.674,197.674,269.7674419,1.504408401,0,129.1866029,9.56937799,861.2440191,1,2,-0.9187,-1,263.15789,0,25.45830319,0,0,0,0,0,278.1071453,1440.829468,1480.667114,76451.00585,0,105,0,0,No
374379,1478439,17100209,Kruos,3,-9999,5,18.6,1626107.93699999,1219580.953,0,33532.53807,0,958,0.912176,554.667,55.328,49.86702128,81.911,97.27,81.78191489,1.420428045,0,0,0,0,2.5,3,-0.2857,0.68,13.57466,0,2.759232176,0,0.5556,0,0,9.041052614,121.2454795,1646.074951,753.5716553,75328.55395,32,0,3,2863716.37981999,No
356700,1398800,15010504,Chamkar Khloy,2,1.3466146,5,30.2,0,813053.9684,813053.9684,55109.76103,0,956,1.012632,372.449,166.667,684.3137255,664.706,0,1.960784314,1.190686684,198.0392157,45.66210046,264.8401826,689.4977169,3,5,0.3369,0.0667,200.98039,200.98039,19.11764706,0,0,0,0,0.306372549,462.9580897,2006.404419,1347.598389,340.1315133,3,0,0,0,Yes
402100,1390300,15030605,Pou Robang,2,1.06631947,5,29.6,0,2032634.921,0,33296.85119,0,952,1.016949,346.386,98.901,512.908778,0,254.733,5.163511188,0.671350032,0,119.266055,100.9174312,779.8165138,1.5,0,-0.9964,-1,350,0,5.890178366,0.9225,0,0,0,0.3125,205.4758912,1340.012939,1519.722412,16926.8141199999,0,0,2,0,No
345792,1490239,17070806,Sva Huol,2,6.09508514,5,22,3252215.873,4471796.826,0,37034.8284599999,0,952,0.796226,498.645,59.072,785.0953206,0,0,0,0,0,80.35714286,116.0714286,803.5714286,1.5,0,-0.6411,1,340.90909,0,3.956076024,0,0,0,0,0,1164.634087,1681.965576,1222.189575,57794.2845299999,0,0,14,0,No
380800,1385700,15050702,Krang Pophleak,3,1.09542024,5,32.6,0,1219580.953,2032634.921,52534.31109,0,950,0.779026,679.012,162.319,581.3397129,119.617,107.656,57.41626794,0.839619643,7.177033493,25.51020408,290.8163265,683.6734694,1.5,0,0,0,750,0,4.266356497,0,0,0,0,1.504149052,627.4780416,1311.859863,1265.777466,506.1990417,38,0,2,0,No
457312,1429846,6080101,Ponlea Chey,2,1.26812506,5,25.4,0,4065269.842,0,36112.6468299999,0,948,1.164384,579.114,132.673,1110.749186,35.831,32.573,319.218241,1.138617243,22.80130293,263.3587786,152.6717557,583.9694656,2,0,-0.9075,-1,548.24561,0,5.83004645,0,0,0,0,0,145.7522986,881.0392456,1227.758667,84108.1806999999,1,2,0,3458525.79117,Yes
