XCOOR,YCOOR,VILLCODE,VILLNAME,TOPOZONE,INUNDATION,ELEVATION,DRYRAIN,POP,SEXR,KW_UPTOSEC,KW_ILLIT,LF_CROP,LF_FISH,LF_ANI,LF_WAGED,INDLIVELI,MIGRANTS,PL_P1HH,PL_P2HH,PL_NONPHH,LAT_NOIMPR,LAT_IMPR,WA_NEAR,WA_WITHIN,WS_PUR,WS_WELL,WS_POND,WS_RIV,WS_RAINS,WT_FILT,WT_BOIL,WT_CHLTT,WT_SOLTT,MA_INDACT,MA_PROXROAD,WA_AWAY,WS_UNSAFE,WT_UNTREAT
301226,1448196,2030902,Prey Koun Sek,3,0.72232145,5,34,1073,1.120553,460.85,12.605,664.246824,0,0,88.9292196,0.510123554,16.33393829,63.02521008,336.1344538,600.8403361,854.92228,854.92228,208,173,0,295.3367875648,502.5906735751,0,202.0725388601,352.3316062176,647.6683937824,0,0,0.647668394,1255.877987,619,503,0
347649,1406565,2060406,Nikom Kraom,2,1.51056385,5,29,1075,1.06334,558.14,0,852.4046434,0,0,0,0.101722822,18.24212272,104.8387097,270.1612903,625,71.74888,71.74888,118,319,0,0,1000,0,0,0,0,0,0,0,646.4399237,559,1000,1000
384500,1395000,15020711,Phteah Srae,2,0.90672743,5,30,1076,1.152,346,170.732,546.875,0,0,185.7638889,1.209306317,69.44444444,87.43169399,185.7923497,726.7759563,45.97701,45.97701,667,211,0,86.2068965517,5.7471264368,908.0459770115,0,0,57.4712643678,0,0,0,577.5840291,122,913.7931034483,943
333400,1415600,2060607,Chong Pralay,2,2.22178936,5,27.6,1078,0.884615,844.237,33.088,840.1826484,0,13.69863014,184.1704718,1.067428342,205.4794521,101.9607843,125.4901961,772.5490196,318.89764,318.89764,295,276,0,992.125984252,0,7.874015748,0,0,539.3700787402,0,0,5.805208417,57.57146808,424,8,461
347400,1401600,2060408,Pech Changvar,2,1.08302367,5,29.8,1079,0.990775,645.833,22.044,895.9044369,0,0,27.30375427,0.336727959,52.90102389,84.55882353,154.4117647,761.0294118,950.61728,0,310,684,0,0,1000,0,0,0,111.1111111111,0,0,0,1973.073637,0,1000,889
435117,1442745,17040707,Kbal Kduoch,2,2.65969396,5,22.8,1079,0.902998,548.902,82.267,1344.551282,0,0,203.525641,0.666844395,88.14102564,79.6812749,127.4900398,792.8286853,8.43882,8.43882,167,91,0,1000,0,0,0,21.0970464135,42.194092827,0,0,0.26371308,111.5454786,742,0,937
285838,1502562,1060301,Kaoh Pong Satv,3,1.37701976,5,31.8,1082,0.891608,621.701,0,890.7185629,0,5.988023952,65.86826347,1.207133859,270.9580838,6.84931507,171.2328767,821.9178082,110.29412,73.52941,688,70,0,0,1000,0,0,73.5294117647,926.4705882353,0,0,0.459558824,7.99607247,237,1000,0
331100,1409500,2060904,Koun K'aek Muoy,2,0.90781248,5,28.8,1082,0.946043,785.075,0,1001.445087,0,0,43.35260116,0.382416326,63.58381503,122.605364,153.256705,724.137931,250,250,709,0,0,0,64.6551724138,926.724137931,8.6206896552,0,323.275862069,0,0,0.269396552,233.3630421,286,991,677
375500,1425000,15010411,Dei Roneat,1,12.07881546,2,24.8,1082,1.014898,376.894,113.36,0,939.688716,0,11.67315175,0.139398565,13.61867704,46.15384615,153.8461538,800,985.22167,0,21,979,0,0,0,1000,0,665.0246305419,285.7142857143,49.2610837438,0,0.92364532,5646.558397,0,1000,0
491211,1396308,6031012,Kamraeng,3,2.80429697,5,32,1084,0.935714,380.952,201.639,587.3873874,57.65765766,158.5585586,580.1801802,1.436181932,234.2342342,36.86635945,92.16589862,870.9677419,42.14559,42.14559,268,579,0,862.0689655172,0,0,0,222.2222222222,76.6283524904,0,0,0,4.49382243,153,0,701
455711,1423805,6080203,Srei Rongit,2,1.77031255,5,26,1085,0.86747,872.958,140.665,1678.22736,30.82851638,0,52.02312139,1.039415063,100.1926782,0,0,0,77.6699,0,410,104,0,1000,0,0,0,0,0,0,0,0,528.4779685,480,0,1000
331400,1413000,2060109,Daeum Doung,2,0.74531251,5,28.2,1088,0.912127,647.059,5.31,200.286123,0,0,108.7267525,1.059570582,214.5922747,51.64319249,107.9812207,840.3755869,656.52174,565.21739,34,455,417.3913043478,0,213.0434782609,91.3043478261,278.2608695652,78.2608695652,313.0434782609,130.4347826087,60.8695652174,3.279463475,13.60163044,511,304,417
